Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações

Ticker          	Tipo	F.M. 	Mod.	Strike    	A/I/OTM	Dist. (%) do Strike	Último	Var. (%)	Data/Hora	Núm. de Neg.	Vol. Financeiro	Vol. Impl. (%)	Delta	Gamma	Theta ($)	Theta (%)	Vega	IQ	Coberto	Travado	Descob.	Tit.	Lanç.
PETRK292	CALL		A	28,72	ITM	-4,07	2,16	-6,89	10/10/2025	59	245.441,00	26,7	0,7613	0,1143	-0,0268	-1,24	3,1521	0,56	0	234.900	148.400	14	25
PETRW292	PUT		E	28,72	OTM	-4,07	0,46	+35,29	10/10/2025	243	312.424,00	28,5	-0,2501	0,1096	-0,0112	-2,43	3,2339	0,27	0	257.500	593.300	56	208
PETRK294	CALL		E	28,97	ITM	-3,24	1,97	-6,63	10/10/2025	290	895.250,00	26,4	0,7324	0,1226	-0,0271	-1,38	3,3478	0,60	1.500	514.500	238.200	26	43
PETRW294	PUT	✔	E	28,97	OTM	-3,24	0,52	+26,82	10/10/2025	282	725.293,00	28,2	-0,2788	0,1171	-0,0113	-2,18	3,4163	0,13	0	429.000	913.400	45	344
PETRK297	CALL		A	29,22	ITM	-2,40	1,79	-7,25	10/10/2025	41	103.683,00	25,8	0,7035	0,1318	-0,0271	-1,52	3,5173	2,63	400	419.100	186.000	100	38
PETRW297	PUT		E	29,22	OTM	-2,40	0,56	+21,73	10/10/2025	179	602.325,00	27,6	-0,3068	0,1250	-0,0112	-2,00	3,5715	0,24	0	643.700	452.100	62	263
PETRK307	CALL		E	29,47	ATM	-1,57	1,62	-7,95	10/10/2025	159	304.589,00	25,7	0,6695	0,1387	-0,0273	-1,69	3,6851	0,39	28.300	309.500	363.500	27	70
PETRW307	PUT	✔	E	29,47	ATM	-1,57	0,65	+22,64	10/10/2025	229	307.392,00	27,3	-0,3375	0,1314	-0,0111	-1,71	3,7163	0,10	0	446.100	811.600	42	422
PETRK311	CALL		A	29,72	ATM	-0,73	1,44	-9,43	10/10/2025	252	508.270,00	25,2	0,6355	0,1465	-0,0271	-1,88	3,8210	0,53	57.100	1.068.600	254.600	38	72
PETRW311	PUT		E	29,72	ATM	-0,73	0,73	+21,66	10/10/2025	192	477.758,00	27,0	-0,3710	0,1376	-0,0108	-1,48	3,8432	0,23	0	1.059.200	570.400	80	344
PETRK304	CALL		E	29,97	ATM	+0,10	1,30	-9,09	10/10/2025	388	868.205,00	25,1	0,5985	0,1518	-0,0269	-2,07	3,9329	0,60	59.900	302.100	420.600	76	126
PETRW304	PUT	✔	E	29,97	ATM	+0,10	0,83	+22,05	10/10/2025	598	857.244,00	26,7	-0,4046	0,1427	-0,0104	-1,26	3,9415	0,19	0	6.009.100	1.436.300	119	641
PETRK308	CALL		A	30,22	ATM	+0,94	1,15	-9,44	10/10/2025	290	624.068,00	24,9	0,5605	0,1557	-0,0265	-2,31	4,0106	0,56	398.800	240.300	192.600	77	137
PETRW308	PUT		E	30,22	ATM	+0,94	0,94	+20,51	10/10/2025	331	690.118,00	26,3	-0,4409	0,1474	-0,0098	-1,04	4,0127	0,23	0	519.400	959.300	110	472
PETRK309	CALL		E	30,47	ATM	+1,77	1,02	-9,73	10/10/2025	965	824.798,00	24,6	0,5224	0,1593	-0,0259	-2,54	4,0516	0,52	186.200	332.600	746.200	102	198
PETRW309	PUT	✔	E	30,47	ATM	+1,77	1,08	+22,72	10/10/2025	426	694.552,00	26,2	-0,4776	0,1497	-0,0091	-0,85	4,0509	0,23	0	174.800	1.483.500	107	460
PETRK312	CALL		A	30,72	OTM	+2,61	0,90	-5,26	10/10/2025	303	558.832,00	24,6	0,4811	0,1590	-0,0253	-2,81	4,0514	0,69	38.300	455.700	745.400	113	164
PETRW312	PUT		E	30,72	ITM	+2,61	1,18	+19,19	10/10/2025	241	576.069,00	26,3	-0,5141	0,1492	-0,0085	-0,72	4,0548	0,19	0	552.900	797.300	71	373
PETRK314	CALL		E	30,97	OTM	+3,44	0,79	-10,22	10/10/2025	322	492.158,00	24,4	0,4434	0,1590	-0,0244	-3,08	4,0164	0,54	159.500	607.100	755.300	111	207
PETRW314	PUT	✔	E	30,97	ITM	+3,44	1,30	+17,11	10/10/2025	372	931.508,00	25,9	-0,5514	0,1501	-0,0074	-0,57	4,0236	0,22	0	1.939.700	1.491.400	90	411


